                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.48473,                 0.4878,                0.96098,                0.75781,                0.79115,                0.84058,                0.69829,                0.65071,                 1.0697,                 1.1114,             0.00030808,             0.00030808,             0.00030808
                     75,                0.43701,                0.46466,                0.93044,                0.76547,                0.77025,                0.83653,                0.70539,                0.63944,                0.96608,                 1.0902,             0.00029708,             0.00029708,             0.00029708
                     76,                0.42239,                 0.4335,                0.93648,                0.71175,                0.82627,                 0.8409,                0.71875,                0.61611,                0.98915,                 1.0547,             0.00028608,             0.00028608,             0.00028608
                     77,                0.41999,                0.41836,                0.94144,                0.73458,                0.80419,                0.84828,                0.72596,                0.60637,                0.98664,                 1.0405,             0.00027508,             0.00027508,             0.00027508
                     78,                0.41983,                0.44334,                0.92273,                 0.7353,                0.79022,                0.82252,                0.69394,                0.62432,                 1.0097,                 1.0571,             0.00026408,             0.00026408,             0.00026408
                     79,                0.44123,                0.43092,                0.94031,                0.76125,                0.82084,                0.83571,                0.69817,                0.63146,                 1.0363,                 1.0616,             0.00025309,             0.00025309,             0.00025309
                     80,                0.43851,                 0.4315,                0.93646,                0.66156,                0.85833,                0.83565,                0.71699,                0.62254,                0.99283,                 1.0634,             0.00024209,             0.00024209,             0.00024209
                     81,                0.43037,                0.43306,                 0.9361,                 0.6902,                0.82209,                0.85361,                0.72252,                0.61817,                 1.0189,                 1.0598,             0.00023109,             0.00023109,             0.00023109
                     82,                0.41561,                0.44022,                0.92099,                0.68211,                 0.8681,                0.85564,                 0.7102,                0.63593,                 1.0293,                 1.0457,             0.00022009,             0.00022009,             0.00022009
                     83,                0.44263,                0.43951,                0.94287,                 0.7821,                0.76888,                0.85888,                0.73091,                0.62744,                0.99356,                 1.0543,             0.00020909,             0.00020909,             0.00020909
                     84,                0.41238,                0.40318,                0.92797,                0.70794,                0.90157,                0.86131,                0.72033,                0.64258,                0.94569,                 1.0638,             0.00019809,             0.00019809,             0.00019809
                     85,                0.42004,                0.40331,                 0.9378,                0.74363,                0.86796,                0.86833,                0.73049,                0.64278,                0.92821,                 1.0721,             0.00018709,             0.00018709,             0.00018709
                     86,                0.41579,                0.41009,                0.93902,                0.79248,                0.83844,                0.87399,                0.74273,                0.63497,                0.89176,                 1.0677,             0.00017609,             0.00017609,             0.00017609
                     87,                 0.3904,                0.38672,                0.90496,                0.76366,                0.82705,                0.86296,                0.73271,                0.62033,                0.91615,                 1.0518,             0.00016509,             0.00016509,             0.00016509
                     88,                0.39358,                0.40756,                0.92275,                0.73737,                0.85295,                0.87102,                0.73559,                0.63439,                0.89749,                 1.0682,              0.0001541,              0.0001541,              0.0001541
                     89,                 0.3968,                0.38966,                0.92016,                 0.7818,                0.82599,                0.87276,                0.74517,                0.62602,                0.89237,                 1.0534,              0.0001431,              0.0001431,              0.0001431
                     90,                0.39676,                0.40668,                0.91973,                0.78457,                0.83165,                0.85238,                0.72089,                0.60834,                0.90809,                 1.0266,              0.0001321,              0.0001321,              0.0001321
                     91,                0.31739,                0.36718,                0.85823,                0.80698,                0.79758,                0.85954,                0.72045,                0.61004,                0.92476,                 1.0444,              0.0001211,              0.0001211,              0.0001211
                     92,                0.30413,                0.33881,                0.83104,                0.77691,                0.83969,                0.86902,                0.73796,                0.62437,                0.90915,                 1.0677,              0.0001101,              0.0001101,              0.0001101
                     93,                0.29305,                0.32068,                0.82937,                0.82404,                0.78833,                0.88309,                0.75154,                0.62149,                0.83844,                 1.0687,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.28011,                0.29896,                0.82392,                0.89278,                0.75051,                0.88653,                0.75569,                0.59944,                0.83482,                 1.0583,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                 0.2878,                0.30054,                0.82561,                0.87708,                0.75153,                0.87566,                0.74863,                0.59277,                0.90055,                 1.0462,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.26876,                 0.2953,                0.82619,                0.75566,                0.83273,                0.85424,                0.73592,                0.58626,                0.98495,                 1.0404,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.27654,                0.29552,                0.82065,                0.75832,                0.82832,                0.84794,                0.72478,                0.59634,                 0.9761,                 1.0519,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.26599,                0.28349,                0.82573,                0.76179,                0.84477,                0.85507,                0.72764,                0.60239,                0.96268,                 1.0566,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                0.27747,                0.29046,                0.82957,                0.76621,                0.85006,                0.85488,                0.72811,                0.60483,                0.97264,                 1.0602,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                0.26702,                 0.2848,                0.81673,                0.76644,                0.82822,                0.84599,                 0.7174,                0.60129,                0.96551,                 1.0618,             2.2109e-05,             2.2109e-05,             2.2109e-05
